id_observation,date,annee,mois,semaine,region_administrative,prefecture,zone_climatique,latitude,longitude,temperature_moyenne_c,temperature_min_c,temperature_max_c,precipitation_mm,precipitation_7j_mm,precipitation_30j_mm,humidite_relative_pct,vitesse_vent_kmh,jours_pluie_7j,humidite_sol_pct,indice_eau_stagnante,cas_paludisme_simules,taux_incidence_simule_pour_1000,niveau_risque
GN2025-00020,2025-09-13,2025,9,37,Labé,Koubia,montagneux,11.59000,-11.90000,23.93,18.67,28.91,0.85,112.77,657.47,75.12,6.48,5,85.23,0.818,15,0.014,moyen
GN2025-00021,2025-07-06,2025,7,27,Labé,Labé,montagneux,11.32000,-12.29000,24.18,18.94,29.78,0.13,74.51,356.02,73.12,9.84,5,61.11,0.676,4,0.004,moyen
GN2025-00022,2025-01-09,2025,1,2,Labé,Lélouma,montagneux,11.18000,-12.48000,25.80,22.53,31.43,0.26,2.56,3.67,54.12,9.00,0,44.04,0.089,3,0.003,faible
GN2025-00023,2025-06-05,2025,6,23,Labé,Mali,montagneux,12.08000,-12.30000,24.79,20.27,29.45,3.44,43.26,216.78,72.02,7.81,7,64.19,0.552,4,0.004,faible
GN2025-00024,2025-09-05,2025,9,36,Labé,Tougué,montagneux,11.45000,-11.67000,25.34,21.25,30.05,1.51,87.71,533.66,72.58,6.35,5,76.10,0.681,9,0.008,moyen
GN2025-00025,2025-06-06,2025,6,23,Mamou,Dalaba,montagneux,10.69000,-12.25000,25.68,22.58,28.71,1.30,95.81,238.85,67.16,5.03,5,54.55,0.703,10,0.009,moyen
GN2025-00026,2025-12-24,2025,12,52,Mamou,Mamou,montagneux,10.38000,-12.09000,23.87,20.47,28.93,0.91,204.91,563.25,78.22,11.27,6,81.29,1.000,14,0.013,eleve
GN2025-00027,2025-06-17,2025,6,25,Mamou,Pita,montagneux,11.06000,-12.40000,25.09,21.54,30.37,4.89,52.48,277.69,74.82,6.20,7,60.41,0.661,11,0.010,moyen
GN2025-00028,2025-02-08,2025,2,6,Nzérékoré,Beyla,forestier,8.69000,-8.65000,28.25,22.70,32.54,0.20,2.72,54.46,53.29,10.77,0,41.73,0.125,4,0.004,faible
GN2025-00029,2025-09-30,2025,9,40,Nzérékoré,Guéckédou,forestier,8.57000,-10.13000,25.42,20.90,28.87,1.10,221.21,764.78,77.58,3.64,7,87.47,1.000,21,0.023,eleve
GN2025-00030,2025-09-14,2025,9,37,Nzérékoré,Lola,forestier,7.80000,-8.53000,24.98,19.40,28.52,2.20,370.29,1188.44,71.44,10.74,7,98.00,1.000,13,0.014,eleve
GN2025-00031,2025-12-16,2025,12,51,Nzérékoré,Macenta,forestier,8.54000,-9.47000,25.46,21.92,29.43,56.67,254.35,1277.67,80.38,6.67,7,98.00,1.000,18,0.019,eleve
GN2025-00032,2025-05-16,2025,5,20,Nzérékoré,Nzérékoré,forestier,7.76000,-8.82000,27.14,22.99,30.20,2.11,179.03,365.75,62.62,6.73,6,54.12,1.000,9,0.010,eleve
GN2025-00033,2025-12-16,2025,12,51,Nzérékoré,Yomou,forestier,7.56000,-9.31000,24.73,19.50,29.80,21.79,184.53,1052.08,80.91,4.66,7,98.00,1.000,11,0.012,eleve
GN2025-00034,2025-01-10,2025,1,2,Conakry,Conakry,côtier,9.54000,-13.68000,27.45,23.23,31.41,0.49,2.28,2.79,59.34,9.16,0,41.07,0.089,4,0.005,faible
GN2025-00035,2025-09-04,2025,9,36,Boké,Boffa,côtier,10.18000,-14.04000,27.21,24.02,32.74,20.58,244.92,755.57,78.21,12.76,7,88.74,1.000,16,0.017,eleve
GN2025-00036,2025-07-27,2025,7,30,Boké,Boké,côtier,10.94000,-14.29000,27.92,23.20,31.23,2.28,122.41,288.97,74.15,4.86,7,60.09,0.969,5,0.005,eleve
GN2025-00037,2025-08-15,2025,8,33,Boké,Fria,côtier,10.37000,-13.58000,27.21,22.70,30.64,1.93,282.59,643.10,77.46,9.87,7,75.02,1.000,10,0.010,eleve
GN2025-00038,2025-07-23,2025,7,30,Boké,Gaoual,soudano-guinéen,11.75000,-13.20000,29.33,23.75,32.69,0.56,67.33,306.68,82.85,6.66,3,61.56,0.608,8,0.008,moyen
GN2025-00039,2025-07-06,2025,7,27,Boké,Koundara,soudano-guinéen,12.48000,-13.30000,29.68,24.58,34.78,2.64,25.47,136.34,70.68,7.15,7,39.65,0.499,8,0.007,faible
GN2025-00040,2025-02-18,2025,2,8,Faranah,Dabola,soudano-guinéen,10.75000,-11.11000,29.66,25.73,34.66,0.56,1.42,28.13,58.74,15.87,0,40.40,0.072,4,0.004,faible
GN2025-00041,2025-06-11,2025,6,24,Faranah,Dinguiraye,soudano-guinéen,11.30000,-10.72000,27.71,22.79,32.90,1.17,92.99,407.71,74.03,13.23,5,70.07,0.753,5,0.005,moyen
GN2025-00042,2025-06-10,2025,6,24,Faranah,Faranah,soudano-guinéen,10.04000,-10.74000,27.88,24.12,33.05,2.87,54.21,175.98,69.71,7.18,7,57.12,0.663,5,0.005,moyen
GN2025-00043,2025-04-01,2025,4,14,Faranah,Kissidougou,forestier,9.18000,-10.10000,26.35,22.84,30.38,0.30,78.63,182.30,59.80,9.39,3,41.58,0.518,12,0.013,moyen
GN2025-00044,2025-04-12,2025,4,15,Kankan,Kankan,soudano-guinéen,10.39000,-9.31000,29.57,26.25,34.99,0.13,2.83,36.64,54.66,11.88,0,34.93,0.137,2,0.002,faible
GN2025-00045,2025-05-18,2025,5,20,Kankan,Kérouané,forestier,9.27000,-9.01000,28.22,23.20,32.31,1.26,67.07,164.97,63.51,11.12,6,49.86,0.595,6,0.006,moyen
GN2025-00046,2025-09-30,2025,9,40,Kankan,Kouroussa,soudano-guinéen,10.65000,-9.89000,28.54,24.38,32.50,16.66,71.77,313.87,80.88,5.26,5,75.08,0.740,10,0.010,moyen
GN2025-00047,2025-11-02,2025,11,44,Kankan,Mandiana,soudano-guinéen,10.63000,-8.68000,27.82,24.82,31.28,6.08,77.17,248.40,79.99,8.43,6,55.48,0.699,16,0.016,moyen
GN2025-00048,2025-05-21,2025,5,21,Kankan,Siguiri,soudano-guinéen,11.42000,-9.17000,29.38,24.87,34.07,1.60,26.22,87.23,72.51,9.11,6,45.19,0.467,2,0.002,faible
GN2025-00049,2025-08-15,2025,8,33,Kindia,Coyah,côtier,9.71000,-13.38000,27.39,23.41,31.34,2.44,107.39,1218.02,75.12,8.32,6,98.00,0.824,17,0.019,eleve
GN2025-00050,2025-09-09,2025,9,37,Kindia,Dubréka,côtier,9.79000,-13.52000,26.75,22.34,31.12,0.99,224.79,989.98,79.68,7.72,6,98.00,1.000,10,0.011,eleve
GN2025-00051,2025-06-27,2025,6,26,Kindia,Forécariah,côtier,9.43000,-13.09000,26.78,22.99,31.72,1.36,238.66,667.46,72.00,9.86,7,79.58,1.000,12,0.013,eleve
GN2025-00052,2025-12-23,2025,12,52,Kindia,Kindia,côtier,10.06000,-12.87000,25.53,21.93,30.28,54.76,114.41,879.00,80.90,5.86,7,88.55,0.965,10,0.011,eleve
GN2025-00053,2025-05-11,2025,5,19,Kindia,Télimélé,soudano-guinéen,10.91000,-13.04000,28.38,25.14,32.95,17.64,44.24,121.50,63.89,13.48,5,41.31,0.518,6,0.006,faible
GN2025-00054,2025-06-30,2025,6,27,Labé,Koubia,montagneux,11.59000,-11.90000,25.18,21.90,28.85,0.84,25.03,194.97,67.94,9.27,6,44.60,0.389,11,0.010,faible
GN2025-00055,2025-05-24,2025,5,21,Labé,Labé,montagneux,11.32000,-12.29000,24.76,20.35,29.48,0.66,43.09,190.99,65.39,7.76,5,49.78,0.465,11,0.010,faible
GN2025-00056,2025-12-11,2025,12,50,Labé,Lélouma,montagneux,11.18000,-12.48000,23.83,20.16,26.91,2.52,167.09,546.87,72.82,4.35,7,68.38,1.000,12,0.011,eleve
GN2025-00057,2025-07-03,2025,7,27,Labé,Mali,montagneux,12.08000,-12.30000,23.80,20.14,28.59,8.16,48.91,282.86,80.27,8.74,4,62.65,0.562,8,0.007,faible
GN2025-00058,2025-01-01,2025,1,1,Labé,Tougué,montagneux,11.45000,-11.67000,27.22,22.10,30.63,0.15,0.15,0.15,57.84,11.39,0,33.68,0.026,4,0.004,faible
GN2025-00059,2025-01-17,2025,1,3,Mamou,Dalaba,montagneux,10.69000,-12.25000,26.73,21.24,30.93,12.46,19.23,22.03,55.19,9.07,2,33.39,0.257,5,0.005,faible
GN2025-00060,2025-01-16,2025,1,3,Mamou,Mamou,montagneux,10.38000,-12.09000,26.09,20.93,29.55,0.25,20.87,38.36,59.68,9.70,2,48.10,0.254,5,0.005,faible
GN2025-00061,2025-12-22,2025,12,52,Mamou,Pita,montagneux,11.06000,-12.40000,24.07,20.18,27.84,108.70,123.26,488.81,81.29,5.85,5,82.83,0.922,14,0.013,moyen
GN2025-00062,2025-08-18,2025,8,34,Nzérékoré,Beyla,forestier,8.69000,-8.65000,26.49,21.89,30.65,35.95,195.04,929.10,75.27,8.79,6,98.00,1.000,11,0.011,eleve
GN2025-00063,2025-10-17,2025,10,42,Nzérékoré,Guéckédou,forestier,8.57000,-10.13000,27.14,22.36,30.39,14.04,77.53,907.33,76.21,10.67,7,95.70,0.768,16,0.018,eleve
GN2025-00064,2025-07-01,2025,7,27,Nzérékoré,Lola,forestier,7.80000,-8.53000,24.77,21.21,30.54,21.56,363.83,930.17,78.27,13.36,7,92.92,1.000,9,0.010,eleve
GN2025-00065,2025-08-27,2025,8,35,Nzérékoré,Macenta,forestier,8.54000,-9.47000,24.34,19.59,27.83,13.65,399.95,1499.00,73.92,9.17,7,98.00,1.000,12,0.013,eleve
GN2025-00066,2025-07-29,2025,7,31,Nzérékoré,Nzérékoré,forestier,7.76000,-8.82000,25.07,21.62,30.78,42.94,231.24,837.14,83.27,7.30,7,89.24,1.000,16,0.017,eleve
GN2025-00067,2025-10-24,2025,10,43,Nzérékoré,Yomou,forestier,7.56000,-9.31000,24.92,21.39,28.48,32.48,245.57,1025.89,85.88,8.76,5,98.00,1.000,15,0.016,eleve
GN2025-00068,2025-06-17,2025,6,25,Conakry,Conakry,côtier,9.54000,-13.68000,27.29,23.00,31.20,64.72,257.03,837.35,81.25,9.90,7,98.00,1.000,16,0.019,eleve
GN2025-00069,2025-05-02,2025,5,18,Boké,Boffa,côtier,10.18000,-14.04000,28.11,23.35,32.02,24.74,45.23,155.13,68.52,9.32,3,46.35,0.390,5,0.005,moyen
GN2025-00070,2025-05-23,2025,5,21,Boké,Boké,côtier,10.94000,-14.29000,29.01,25.56,34.12,1.40,19.70,232.04,60.00,8.57,7,50.98,0.482,5,0.005,faible
GN2025-00071,2025-05-30,2025,5,22,Boké,Fria,côtier,10.37000,-13.58000,28.15,24.38,32.65,54.37,79.42,341.16,73.17,9.00,6,73.00,0.708,14,0.014,moyen
GN2025-00072,2025-07-22,2025,7,30,Boké,Gaoual,soudano-guinéen,11.75000,-13.20000,28.20,23.06,32.61,2.46,67.23,308.11,74.69,5.57,3,56.90,0.614,7,0.007,moyen
GN2025-00073,2025-06-11,2025,6,24,Boké,Koundara,soudano-guinéen,12.48000,-13.30000,29.14,25.47,34.79,2.93,16.64,145.55,72.17,6.16,6,56.73,0.448,8,0.007,faible
GN2025-00074,2025-01-20,2025,1,4,Faranah,Dabola,soudano-guinéen,10.75000,-11.11000,29.50,25.68,32.78,0.75,3.32,8.10,52.82,10.56,0,40.84,0.056,3,0.003,faible
GN2025-00075,2025-03-24,2025,3,13,Faranah,Dinguiraye,soudano-guinéen,11.30000,-10.72000,29.33,25.12,34.49,0.61,25.52,44.06,53.92,12.80,1,41.77,0.262,8,0.008,faible
GN2025-00076,2025-02-01,2025,2,5,Faranah,Faranah,soudano-guinéen,10.04000,-10.74000,28.03,22.91,32.49,0.63,2.23,49.48,60.15,13.90,0,39.34,0.116,5,0.005,faible
GN2025-00077,2025-09-11,2025,9,37,Faranah,Kissidougou,forestier,9.18000,-10.10000,26.81,23.34,29.94,1.37,114.78,724.92,75.92,10.75,7,75.48,0.992,8,0.008,eleve
GN2025-00078,2025-03-28,2025,3,13,Kankan,Kankan,soudano-guinéen,10.39000,-9.31000,29.08,25.91,33.16,2.16,25.43,69.71,58.64,9.17,2,33.63,0.281,4,0.004,faible
GN2025-00079,2025-12-17,2025,12,51,Kankan,Kérouané,forestier,9.27000,-9.01000,27.45,23.31,32.03,76.21,185.49,680.60,88.81,12.46,7,84.80,1.000,10,0.010,eleve
GN2025-00080,2025-05-18,2025,5,20,Kankan,Kouroussa,soudano-guinéen,10.65000,-9.89000,28.63,23.71,34.33,1.21,21.67,140.40,72.44,6.31,4,48.98,0.336,8,0.008,faible
GN2025-00081,2025-12-02,2025,12,49,Kankan,Mandiana,soudano-guinéen,10.63000,-8.68000,29.11,25.34,33.42,0.99,117.34,366.56,78.93,8.83,4,60.15,0.718,16,0.016,moyen
GN2025-00082,2025-01-26,2025,1,4,Kankan,Siguiri,soudano-guinéen,11.42000,-9.17000,31.83,27.66,35.74,5.63,7.81,24.89,55.52,7.34,1,35.97,0.116,2,0.002,faible
GN2025-00083,2025-08-02,2025,8,31,Kindia,Coyah,côtier,9.71000,-13.38000,28.86,25.69,34.16,133.47,391.94,1189.26,90.14,8.43,6,98.00,1.000,15,0.017,eleve
GN2025-00084,2025-07-16,2025,7,29,Kindia,Dubréka,côtier,9.79000,-13.52000,27.90,24.88,32.68,9.16,245.68,656.96,77.93,9.12,6,87.11,1.000,11,0.012,eleve
GN2025-00085,2025-12-10,2025,12,50,Kindia,Forécariah,côtier,9.43000,-13.09000,27.81,24.12,32.34,0.71,116.82,957.97,77.27,7.42,5,93.65,0.830,17,0.018,eleve
GN2025-00086,2025-03-05,2025,3,10,Kindia,Kindia,côtier,10.06000,-12.87000,28.53,23.48,33.13,0.64,3.25,29.94,53.19,11.93,0,31.09,0.139,2,0.002,faible
GN2025-00087,2025-04-18,2025,4,16,Kindia,Télimélé,soudano-guinéen,10.91000,-13.04000,27.86,22.54,33.32,50.54,72.14,107.84,62.69,10.23,2,33.08,0.481,11,0.011,faible
GN2025-00088,2025-02-08,2025,2,6,Labé,Koubia,montagneux,11.59000,-11.90000,26.15,22.83,29.28,0.17,8.79,25.69,60.97,9.59,1,38.00,0.215,2,0.002,faible
GN2025-00089,2025-09-12,2025,9,37,Labé,Labé,montagneux,11.32000,-12.29000,23.34,18.80,28.36,2.96,95.23,575.71,77.04,6.11,7,79.41,0.920,9,0.008,moyen
GN2025-00090,2025-03-13,2025,3,11,Labé,Lélouma,montagneux,11.18000,-12.48000,24.82,19.57,27.93,0.12,3.10,24.51,59.30,12.54,0,40.41,0.111,5,0.005,faible
GN2025-00091,2025-03-27,2025,3,13,Labé,Mali,montagneux,12.08000,-12.30000,25.10,22.04,30.29,0.29,6.90,17.50,56.78,9.45,1,36.63,0.141,0,0.000,faible
GN2025-00092,2025-04-03,2025,4,14,Labé,Tougué,montagneux,11.45000,-11.67000,25.68,20.42,30.56,0.79,2.70,36.23,64.59,12.34,0,39.38,0.081,4,0.004,faible
GN2025-00093,2025-09-16,2025,9,38,Mamou,Dalaba,montagneux,10.69000,-12.25000,25.19,19.70,30.55,33.82,153.56,749.88,77.25,9.52,6,80.40,1.000,11,0.010,eleve
GN2025-00094,2025-10-10,2025,10,41,Mamou,Mamou,montagneux,10.38000,-12.09000,25.63,21.88,29.80,1.54,119.32,537.10,76.55,8.78,7,76.21,1.000,12,0.011,moyen
GN2025-00095,2025-08-22,2025,8,34,Mamou,Pita,montagneux,11.06000,-12.40000,24.05,19.71,28.34,55.56,140.67,558.93,85.16,9.34,7,80.60,1.000,10,0.009,eleve
GN2025-00096,2025-05-24,2025,5,21,Nzérékoré,Beyla,forestier,8.69000,-8.65000,26.63,23.57,30.56,1.16,54.71,310.24,67.59,8.40,5,46.45,0.501,12,0.012,moyen
GN2025-00097,2025-08-18,2025,8,34,Nzérékoré,Guéckédou,forestier,8.57000,-10.13000,26.46,22.79,29.62,7.88,93.58,1118.38,74.02,7.24,6,98.00,0.750,17,0.019,eleve
GN2025-00098,2025-01-08,2025,1,2,Nzérékoré,Lola,forestier,7.80000,-8.53000,25.73,22.22,31.19,0.34,3.19,3.33,57.99,9.36,0,31.38,0.049,2,0.002,faible
GN2025-00099,2025-05-28,2025,5,22,Nzérékoré,Macenta,forestier,8.54000,-9.47000,25.01,20.57,28.74,26.82,35.13,394.36,71.64,7.40,5,63.86,0.453,9,0.010,moyen
GN2025-00100,2025-05-11,2025,5,19,Nzérékoré,Nzérékoré,forestier,7.76000,-8.82000,26.88,22.80,30.78,0.07,53.58,191.76,72.44,9.02,5,54.68,0.490,6,0.007,moyen
GN2025-00101,2025-05-09,2025,5,19,Nzérékoré,Yomou,forestier,7.56000,-9.31000,26.69,22.53,31.89,2.17,56.65,207.29,59.94,12.21,6,50.37,0.661,7,0.007,moyen
GN2025-00102,2025-12-10,2025,12,50,Conakry,Conakry,côtier,9.54000,-13.68000,27.56,23.49,31.11,16.61,275.09,1128.38,82.75,9.66,7,98.00,1.000,17,0.020,eleve
GN2025-00103,2025-09-06,2025,9,36,Boké,Boffa,côtier,10.18000,-14.04000,27.72,22.81,31.09,107.74,317.63,908.53,92.31,6.37,7,98.00,1.000,11,0.011,eleve
GN2025-00104,2025-06-03,2025,6,23,Boké,Boké,côtier,10.94000,-14.29000,28.82,23.25,32.82,19.68,84.95,244.00,70.77,6.16,7,58.12,0.749,10,0.010,moyen
GN2025-00105,2025-12-21,2025,12,51,Boké,Fria,côtier,10.37000,-13.58000,26.68,22.38,30.78,2.44,17.90,312.30,77.82,7.51,6,65.74,0.533,5,0.005,moyen
GN2025-00106,2025-10-26,2025,10,43,Boké,Gaoual,soudano-guinéen,11.75000,-13.20000,29.55,25.50,34.93,1.11,29.19,326.96,78.34,8.27,7,68.48,0.568,8,0.008,faible
GN2025-00107,2025-10-03,2025,10,40,Boké,Koundara,soudano-guinéen,12.48000,-13.30000,27.44,22.26,32.19,1.58,17.13,111.25,70.98,1.99,7,54.31,0.496,7,0.007,faible
GN2025-00108,2025-06-13,2025,6,24,Faranah,Dabola,soudano-guinéen,10.75000,-11.11000,28.51,25.38,32.25,2.06,30.48,201.29,66.79,10.69,6,54.28,0.465,4,0.004,faible
GN2025-00109,2025-11-16,2025,11,46,Faranah,Dinguiraye,soudano-guinéen,11.30000,-10.72000,27.37,23.71,33.07,2.99,15.13,290.36,78.49,7.00,6,59.71,0.463,5,0.005,faible
GN2025-00110,2025-02-21,2025,2,8,Faranah,Faranah,soudano-guinéen,10.04000,-10.74000,29.45,25.58,33.25,0.69,3.92,27.25,57.58,10.36,1,37.23,0.187,2,0.002,faible
GN2025-00111,2025-11-13,2025,11,46,Faranah,Kissidougou,forestier,9.18000,-10.10000,27.43,22.69,32.97,23.87,250.38,942.45,78.94,9.25,6,97.57,1.000,10,0.011,eleve
GN2025-00112,2025-04-02,2025,4,14,Kankan,Kankan,soudano-guinéen,10.39000,-9.31000,29.98,26.43,33.36,0.48,6.75,37.02,64.36,12.79,2,34.80,0.180,1,0.001,faible
GN2025-00113,2025-01-08,2025,1,2,Kankan,Kérouané,forestier,9.27000,-9.01000,29.48,25.06,32.78,0.34,5.72,5.94,51.50,11.13,1,29.49,0.095,2,0.002,faible
GN2025-00114,2025-12-31,2025,12,1,Kankan,Kouroussa,soudano-guinéen,10.65000,-9.89000,28.16,24.39,33.81,0.91,41.40,148.40,74.70,9.09,4,48.52,0.433,8,0.008,moyen
GN2025-00115,2025-07-25,2025,7,30,Kankan,Mandiana,soudano-guinéen,10.63000,-8.68000,28.40,23.56,32.20,1.28,46.91,266.38,72.47,8.90,6,52.89,0.554,6,0.006,moyen
GN2025-00116,2025-06-21,2025,6,25,Kankan,Siguiri,soudano-guinéen,11.42000,-9.17000,28.73,23.29,34.26,0.30,97.48,195.96,66.99,9.15,6,46.15,0.786,4,0.004,moyen
GN2025-00117,2025-10-09,2025,10,41,Kindia,Coyah,côtier,9.71000,-13.38000,26.63,23.19,30.62,2.74,366.07,1375.77,78.98,6.44,7,98.00,1.000,21,0.024,eleve
GN2025-00118,2025-05-30,2025,5,22,Kindia,Dubréka,côtier,9.79000,-13.52000,27.73,22.68,33.40,2.25,46.76,170.02,77.09,9.17,7,54.79,0.632,9,0.010,moyen
GN2025-00119,2025-01-10,2025,1,2,Kindia,Forécariah,côtier,9.43000,-13.09000,28.86,24.55,32.91,6.26,9.56,11.15,54.68,9.81,1,44.24,0.136,6,0.006,faible
GN2025-00120,2025-05-30,2025,5,22,Kindia,Kindia,côtier,10.06000,-12.87000,27.43,24.24,33.10,2.23,88.58,372.91,76.40,10.60,5,57.58,0.723,14,0.015,moyen
GN2025-00121,2025-01-31,2025,1,5,Kindia,Télimélé,soudano-guinéen,10.91000,-13.04000,27.47,22.34,32.59,0.35,14.39,61.02,57.21,11.08,2,35.96,0.235,3,0.003,faible
GN2025-00122,2025-08-21,2025,8,34,Labé,Koubia,montagneux,11.59000,-11.90000,24.19,18.94,27.26,0.90,99.34,362.20,73.48,10.32,5,61.97,0.751,2,0.002,moyen
GN2025-00123,2025-11-26,2025,11,48,Labé,Labé,montagneux,11.32000,-12.29000,24.57,21.37,28.53,1.75,148.94,393.48,73.70,8.76,7,68.31,1.000,5,0.005,moyen
GN2025-00124,2025-01-14,2025,1,3,Labé,Lélouma,montagneux,11.18000,-12.48000,25.51,22.20,30.73,0.15,2.06,5.44,55.31,13.20,0,43.26,0.045,2,0.002,faible
GN2025-00125,2025-09-21,2025,9,38,Labé,Mali,montagneux,12.08000,-12.30000,24.69,20.38,28.93,19.76,166.37,394.55,79.38,9.11,6,67.02,1.000,13,0.012,eleve
GN2025-00126,2025-11-17,2025,11,47,Labé,Tougué,montagneux,11.45000,-11.67000,23.87,20.32,28.01,1.59,38.62,528.93,75.51,7.13,6,73.91,0.521,7,0.006,faible
GN2025-00127,2025-09-13,2025,9,37,Mamou,Dalaba,montagneux,10.69000,-12.25000,24.25,19.93,29.46,35.42,288.64,755.28,82.35,9.23,7,76.16,1.000,7,0.007,eleve
GN2025-00128,2025-11-08,2025,11,45,Mamou,Mamou,montagneux,10.38000,-12.09000,24.77,19.97,28.28,5.60,119.36,458.42,79.40,5.51,7,75.77,1.000,14,0.013,eleve
GN2025-00129,2025-06-11,2025,6,24,Mamou,Pita,montagneux,11.06000,-12.40000,23.77,18.76,27.88,7.34,122.55,245.42,64.33,9.54,5,50.67,0.885,2,0.002,moyen
GN2025-00130,2025-02-15,2025,2,7,Nzérékoré,Beyla,forestier,8.69000,-8.65000,28.80,25.77,33.98,0.17,42.47,80.53,60.40,11.91,1,40.70,0.273,4,0.004,faible
GN2025-00131,2025-03-02,2025,3,9,Nzérékoré,Guéckédou,forestier,8.57000,-10.13000,27.73,24.63,32.75,0.40,38.23,100.85,60.86,7.42,1,41.17,0.271,6,0.007,faible
GN2025-00132,2025-02-11,2025,2,7,Nzérékoré,Lola,forestier,7.80000,-8.53000,27.65,22.36,33.25,0.44,3.25,12.67,55.44,8.10,0,37.43,0.113,6,0.006,faible
GN2025-00133,2025-10-01,2025,10,40,Nzérékoré,Macenta,forestier,8.54000,-9.47000,25.72,21.88,30.56,0.88,290.73,1206.91,80.63,11.33,6,98.00,1.000,15,0.016,eleve
GN2025-00134,2025-09-21,2025,9,38,Nzérékoré,Nzérékoré,forestier,7.76000,-8.82000,25.36,22.24,30.77,47.43,151.40,879.33,78.61,9.51,7,92.08,1.000,16,0.017,eleve
